goal,adherence_pct,avg_sleep,avg_soreness,workout_completion_pct,weight_change_kg,weeks_since_last_adjustment,label
bulk,46.7,8.2,2.0,39.8,-1.19,6,stay_course
bulk,45.2,6.6,1.1,45.3,0.02,1,stay_course
bulk,51.9,7.7,3.2,45.4,0.27,1,stay_course
cut,81.9,6.2,1.6,97.0,-0.49,1,increase_intensity
maintain,45.8,8.7,3.4,86.5,0.69,5,stay_course
cut,98.4,6.4,3.2,88.1,0.36,3,reduce_calories
bulk,51.5,4.8,3.6,84.1,1.46,2,deload_week
cut,62.8,6.8,4.3,41.4,-0.43,6,deload_week
maintain,82.1,7.9,1.3,74.4,0.1,2,increase_intensity
cut,67.7,5.8,4.7,78.2,-0.84,3,deload_week
cut,53.7,4.7,2.3,48.7,-0.87,5,deload_week
bulk,58.9,7.8,2.6,94.0,-0.12,3,stay_course
cut,54.8,7.3,2.1,70.9,1.19,4,stay_course
maintain,53.2,9.5,3.0,36.4,-1.36,1,increase_calories
cut,77.6,8.5,2.7,34.4,-0.36,4,stay_course
bulk,55.1,7.3,4.8,77.6,-1.16,5,deload_week
maintain,86.1,6.2,2.2,41.1,-1.49,6,increase_calories
bulk,55.8,7.0,1.7,93.9,1.11,3,reduce_calories
bulk,70.5,5.5,2.5,41.3,1.36,5,reduce_calories
cut,75.9,6.9,1.4,55.4,1.46,3,reduce_calories
cut,43.5,8.9,4.8,36.0,-0.04,1,deload_week
bulk,86.0,5.1,2.9,68.5,-0.7,5,deload_week
maintain,97.9,9.1,4.0,78.3,0.64,4,stay_course
bulk,79.0,6.7,3.1,38.5,-0.83,3,increase_calories
cut,75.3,5.7,1.9,35.0,0.39,2,reduce_calories
cut,94.3,8.8,1.3,46.7,0.51,2,reduce_calories
bulk,47.9,9.2,3.3,63.1,0.85,4,stay_course
cut,45.7,7.8,2.4,58.8,1.09,1,stay_course
bulk,79.2,7.7,1.2,81.0,0.9,1,increase_intensity
cut,51.5,7.2,1.6,42.8,-0.11,1,stay_course
maintain,88.5,8.8,1.4,75.7,0.12,1,increase_intensity
cut,95.6,8.7,1.7,64.0,-0.86,4,stay_course
cut,49.9,4.5,2.6,94.9,0.86,3,deload_week
maintain,81.8,8.2,4.1,76.3,-0.04,2,stay_course
maintain,53.1,4.8,3.9,34.3,-0.56,1,deload_week
bulk,68.6,9.1,3.1,34.0,0.02,2,stay_course
cut,75.7,7.9,1.9,38.4,1.17,2,reduce_calories
bulk,75.7,7.6,2.7,70.9,0.07,3,increase_intensity
cut,80.2,6.1,2.1,39.2,0.44,4,reduce_calories
maintain,95.7,9.2,1.0,73.5,0.19,1,increase_intensity
cut,72.3,7.0,1.5,54.4,-1.29,2,increase_calories
maintain,57.1,6.7,3.2,51.2,1.45,6,reduce_calories
bulk,40.5,8.6,2.2,76.4,1.32,2,reduce_calories
maintain,46.9,5.0,3.2,49.1,0.31,6,deload_week
maintain,52.2,7.7,2.1,64.2,1.22,1,reduce_calories
cut,78.1,8.6,1.2,53.3,-1.11,3,stay_course
cut,84.5,7.3,2.7,30.7,-1.27,6,increase_calories
cut,72.7,8.7,3.3,40.4,-1.12,3,stay_course
maintain,93.9,8.5,4.4,92.9,-0.87,2,deload_week
bulk,46.2,8.4,4.5,58.4,0.36,2,deload_week
cut,91.9,9.4,4.2,91.7,-1.43,6,deload_week
maintain,86.9,6.6,3.7,81.5,-0.76,2,stay_course
bulk,46.5,8.9,4.4,45.6,0.95,4,deload_week
maintain,58.3,8.5,1.9,31.7,-0.92,3,increase_calories
maintain,91.9,9.3,2.1,74.9,-0.3,5,increase_intensity
maintain,96.4,5.1,4.9,42.5,1.39,3,deload_week
cut,46.5,6.7,3.9,52.0,0.32,5,stay_course
cut,63.1,7.4,2.0,79.6,-1.49,5,increase_calories
bulk,83.2,8.2,3.7,55.5,-1.29,6,increase_calories
maintain,77.4,7.8,1.5,93.0,0.02,6,increase_intensity
maintain,59.6,8.0,3.2,43.4,0.49,4,stay_course
bulk,84.9,5.4,3.3,58.4,1.0,3,deload_week
maintain,52.6,8.4,3.4,52.6,-0.17,6,stay_course
cut,70.7,8.5,4.8,81.5,0.48,3,deload_week
bulk,79.8,7.6,1.4,96.6,-0.8,3,increase_intensity
